model_name,class_imbalance_strategy,feature_name,importance,importance_type,rank,status
logistic_regression,none,last_event_type__view,1.8081109487,abs_coefficient,1,estimated
logistic_regression,none,last_event_type__cart,0.8353104953,abs_coefficient,2,estimated
logistic_regression,none,unique_product_count,0.3488501111,abs_coefficient,3,estimated
logistic_regression,none,user_past_purchase_count,0.3297411154,abs_coefficient,4,estimated
logistic_regression,none,unique_category_count,0.3263192525,abs_coefficient,5,estimated
logistic_regression,none,last_price_bin__50-100,0.2159879175,abs_coefficient,6,estimated
logistic_regression,none,event_count_view,0.1947401212,abs_coefficient,7,estimated
logistic_regression,none,prefix_length,0.1927603288,abs_coefficient,8,estimated
logistic_regression,none,last_price_bin__25-50,0.1892326570,abs_coefficient,9,estimated
logistic_regression,none,last_price_bin__<=25,0.1783119428,abs_coefficient,10,estimated
logistic_regression,none,session_elapsed_minutes,0.1491571336,abs_coefficient,11,estimated
logistic_regression,none,hour,0.1386324848,abs_coefficient,12,estimated
logistic_regression,none,last_price_bin__250-500,0.1183449636,abs_coefficient,13,estimated
logistic_regression,none,time_since_previous_event_minutes,0.1107592557,abs_coefficient,14,estimated
logistic_regression,none,last_price_bin__100-250,0.0992407808,abs_coefficient,15,estimated
logistic_regression,none,last_price,0.0931599601,abs_coefficient,16,estimated
logistic_regression,none,last_price_bin__>1000,0.0909316419,abs_coefficient,17,estimated
logistic_regression,none,last_price_bin__500-1000,0.0807505498,abs_coefficient,18,estimated
logistic_regression,none,user_past_event_count,0.0731678529,abs_coefficient,19,estimated
logistic_regression,none,user_past_cart_count,0.0624920764,abs_coefficient,20,estimated
logistic_regression,none,event_count_cart,0.0263472131,abs_coefficient,21,estimated
logistic_regression,none,event_count_remove_from_cart,0.0000000000,abs_coefficient,22,estimated
lightgbm,none,last_price,1026.0000000000,split_count,1,estimated
lightgbm,none,user_past_event_count,818.0000000000,split_count,2,estimated
lightgbm,none,hour,726.0000000000,split_count,3,estimated
lightgbm,none,unique_product_count,646.0000000000,split_count,4,estimated
lightgbm,none,session_elapsed_minutes,530.0000000000,split_count,5,estimated
lightgbm,none,user_past_purchase_count,373.0000000000,split_count,6,estimated
lightgbm,none,unique_category_count,365.0000000000,split_count,7,estimated
lightgbm,none,prefix_length,350.0000000000,split_count,8,estimated
lightgbm,none,event_count_view,337.0000000000,split_count,9,estimated
