category,total_events,view_events,purchase_events,purchase_to_view_rate
electronics,777135,732188,20158,0.027531
<missing>,636448,626790,7083,0.011300
appliances,231217,226750,3387,0.014937
computers,111284,109612,1347,0.012289
apparel,59161,58874,287,0.004875
furniture,51536,51156,357,0.006979
auto,47787,47134,378,0.008020
construction,38236,37505,422,0.011252
kids,25072,24718,308,0.012461
accessories,11666,11582,74,0.006389
sport,8394,8346,45,0.005392
country_yard,993,985,7,0.007107
medicine,708,688,20,0.029070
stationery,363,358,4,0.011173
