hour,sample_count,positive_count,positive_rate,avg_price
0,10928,290,0.026537,282.642854
1,19122,682,0.035666,280.331581
2,54409,2575,0.047327,285.884439
3,90157,5794,0.064266,287.208946
4,106204,7814,0.073575,288.365172
5,118967,8233,0.069204,290.239839
6,125458,9440,0.075244,288.102216
7,130592,8889,0.068067,296.683802
8,134525,9717,0.072232,295.626058
9,132638,9821,0.074044,298.183000
10,124292,9170,0.073778,296.022615
11,116830,7769,0.066498,298.012814
12,115033,7607,0.066129,296.786932
13,124895,6883,0.055110,302.095473
14,97485,4270,0.043802,296.928957
15,90811,4296,0.047307,300.182116
16,96649,3686,0.038138,296.612825
17,83702,3300,0.039426,295.147116
18,61757,2210,0.035785,307.142463
19,39129,1554,0.039715,302.615748
20,20018,805,0.040214,316.965145
21,12541,547,0.043617,343.062115
22,7179,368,0.051261,313.238717
23,6090,199,0.032677,317.196100
