feature_name,transformer_type,fit_split,train_observation_count,fitted_values
last_event_type,categorical_vocab,train,4229262,cart|view
last_price_bin,categorical_vocab,train,4229262,100-250|25-50|250-500|50-100|500-1000|<=25|>1000
prefix_length,standard_scaler_stats,train,4229262,mean=7.541210|std=11.979591
session_elapsed_minutes,standard_scaler_stats,train,4229262,mean=10.535446|std=83.136384
time_since_previous_event_minutes,standard_scaler_stats,train,3267100,mean=2.826895|std=49.017023
hour,standard_scaler_stats,train,4229262,mean=10.633223|std=5.166106
event_count_view,standard_scaler_stats,train,4229262,mean=7.471016|std=11.953341
event_count_cart,standard_scaler_stats,train,4229262,mean=0.070195|std=0.706155
event_count_remove_from_cart,standard_scaler_stats,train,4229262,mean=0.000000|std=0.000000
unique_product_count,standard_scaler_stats,train,4229262,mean=4.925274|std=7.043799
unique_category_count,standard_scaler_stats,train,4229262,mean=1.537725|std=1.454392
last_price,standard_scaler_stats,train,4229262,mean=298.476987|std=368.658041
user_past_event_count,standard_scaler_stats,train,4229262,mean=15.777966|std=30.974855
user_past_purchase_count,standard_scaler_stats,train,4229262,mean=0.097466|std=0.667753
user_past_cart_count,standard_scaler_stats,train,4229262,mean=0.157276|std=1.095619
