model_name,class_imbalance_strategy,split,sample_count,positive_count,pr_auc,roc_auc,f1,recall_at_k,precision_at_k,threshold,top_k_fraction,status
logistic_regression,none,train,4229262,273625,0.235328,0.700277,0.135878,0.347026,0.224519,0.500000,0.100000,evaluated
logistic_regression,none,validation,906259,63186,0.257940,0.717535,0.180423,0.381414,0.265928,0.500000,0.100000,evaluated
logistic_regression,none,test,906252,60488,0.267251,0.731565,0.166267,0.400294,0.267175,0.500000,0.100000,evaluated
lightgbm,none,train,4229262,273625,0.292580,0.741805,0.185190,0.405051,0.262059,0.500000,0.100000,evaluated
lightgbm,none,validation,906259,63186,0.299799,0.748071,0.190897,0.414459,0.288968,0.500000,0.100000,evaluated
lightgbm,none,test,906252,60488,0.303770,0.753253,0.202017,0.426779,0.284852,0.500000,0.100000,evaluated
logistic_regression,balanced,train,4229262,273625,0.234469,0.710212,0.255015,0.372707,0.241134,0.500000,0.100000,evaluated
logistic_regression,balanced,validation,906259,63186,0.255662,0.730905,0.265329,0.400041,0.278916,0.500000,0.100000,evaluated
logistic_regression,balanced,test,906252,60488,0.259337,0.741151,0.309215,0.406527,0.271335,0.500000,0.100000,evaluated
lightgbm,balanced,train,4229262,273625,0.285371,0.743244,0.259609,0.402624,0.260489,0.500000,0.100000,evaluated
lightgbm,balanced,validation,906259,63186,0.296763,0.748456,0.276708,0.412465,0.287578,0.500000,0.100000,evaluated
lightgbm,balanced,test,906252,60488,0.303582,0.754653,0.276781,0.427523,0.285349,0.500000,0.100000,evaluated
